MATH1523,SPAN1115,HIST1483,BIOL1203,UCOL1002,HIST1483B,.
CHEM1315,MUNM1113,ENGR1411,MATH2924,HON 2973,CHEM1315B,MATH2924B
AHS 1400,MATH1523,BIOL1114,BIOL1121,PSY 1113,ENGL1113,.
CHEM1315,MATH1503,MUTE1130,ENGL1113,UCOL1002,CHEM1315B,.
GEOG1103,MATH1523,FMS 1013,ANTH1113,GEOG1103B,.,.
ECON1123,HON 2973,JMC 1013,MUTE1130,PHIL1223,P SC1113,P SC1113B
CHEM1315,MATH1523,ENGL1113,PSY 1113,CHEM1315B,.,.
AHS 1400,P SC1113,BIOL1114,BIOL1121,ENGL1113,PSY 1113,P SC1113B
A HI1113,MATH1503,P SC1113,SOC 1523,UCOL1030,P SC1113B,.
ECON1123,ENGL1213,MATH1743,PHIL1273,PSY 1113,ECON1123B,PHIL1273B
MATH1523,JMC 1013,UCOL1002,SOC 1113,METR1014,METR1014B,.
CHEM1315,MATH1743,MUNM1113,ANTH2613,PSY 2403,CHEM1315B,.
GEOL4970,FR  1115,CHEM1315,GEOL1114,MATH3113,CHEM1315B,GEOL1114B
FMS 1013,BIOL1124,ANTH1203,PSY 1113,BIOL1124B,.,.
JMC 1013,SPAN1115,SOC 1523,UCOL1002,ENGL2413,.,.
B AD1001,DRAM1513,MATH1643,DRAM1612,DRAM1114,DRAM1411,DRAM1114B
CHEM1315,GERM1115,ENGR1411,MATH1914,CHEM1315B,MATH1914B,ENGR1411B
CHEM1315,A HI1113,HIST1483,MATH1914,ENGR1510,CHEM1315B,HIST1483B
CHEM1425,IAS 2003,UNIV1210,SPAN1115,ENGR1510,MATH2433,CHEM1425B
CHEM1315,ENGL1113,MATH1523,ENGR1411,CHEM1315B,ENGR1411B,.
ENGL1113,P SC1113,ENGR1411,CHEM1315,MATH1914,MATH1914B,P SC1113B
CHEM3053,SPAN1225,PBIO1114,ENGL1213,PBIO1114B,.,.
CHEM1315,P SC1113,ENGR1411,MATH2924,GEOG2603,CHEM1315B,P SC1113B
CHEM1315,MATH1523,SPAN2223,FMS 1013,CHEM1315B,.,.
DANC1713,MATH1523,GEOL1114,HSCI1113,GEOL1114B,.,.
ASTR1514,ITAL1115,MATH1503,RELS1113,UCOL1022,ASTR1514B,.
CHEM1315,HIST1483,ENGR1411,GEOG1213,MATH1914,HIST1483B,CHEM1315B
CHEM1315,P SC1113,FMS 1013,MATH1914,MATH1914B,CHEM1315B,P SC1113B
B AD1001,ECON1113,ENGL1113,MATH1743,MUNM1743,ECON1113B,.
DANC2412,DRAM1713,AHS 1400,MATH1743,BIOL1114,BIOL1121,DRAM1713B
ENGL1113,UCOL1002,MATH1523,BIOL1114,BIOL1121,.,.
CHEM1315,HES 1121,MATH1823,SPAN1115,MATH1823B,CHEM1315B,.
CHEM1315,MATH2423,HIST1493,FMS 1013,CHEM1315B,HIST1493B,.
ENGL1113,DRAM2713,MATH1643,ANTH1113,BIOL1124,BIOL1124B,.
MATH1523,SOC 1523,CHEM1315,ENGR1411,CHEM1315B,ENGR1411B,.
AHS 1400,MATH1503,MUNM1113,BIOL1114,BIOL1121,UCOL1002,ENGL1113
ENGL1113,AHS 1400,MATH1523,P SC1113,BIOL1114,BIOL1121,P SC1113B
AERO1011,AERO1300,MATH1523,ENGR1411,P SC1113,CHEM1315,P SC1113B
CEES1112,EXPO1213,MATH2423,ENGR1410,ARCH2323,ARCH1112,ASTR1514
CHEM1315,ENGL1213,MATH1743,SPAN1115,CHEM1315B,.,.
ECON1123,ENGL1113,HIST1483,MATH1643,UCOL1002,ECON1123B,HIST1483B
MATH1473,UCOL1002,BIOL1005,PHIL1013,MATH1473B,BIOL1005B,.
B AD1001,ECON1123,ECON2843,ENGL1213,MUTH2512,MUTH2612,COMP2020
AHS 1400,SOC 1523,FMS 1013,BIOL1114,BIOL1121,PSY 1113,.
CEES1112,ENGL1113,MATH1523,ENGR1410,MUNM1743,ARCH2323,ARCH1112
MATH1643,UCOL1002,DANC1713,ENGL1113,BIOL1124,BIOL1124B,.
AHS 1400,PSY 1113,UCOL1002,BIOL1114,BIOL1121,MATH1743,MUNM2313
P SC1113,SPAN2223,MATH1743,ECON1123,EXPO1213,P SC1113B,.
IAS 2003,MUTE1130,SPAN1115,CLAR2010,MUED1730,MUED1732,MUTH1511
GEOG1103,MATH1743,BIOL1124,ANTH1823,UCOL1002,GEOG1103B,BIOL1124B
ITAL1115,UCOL1002,PHIL1013,EXPO1113,DMAT0113,.,.
CHEM1315,SOC 1523,BIOL1121,MATH1743,CHEM1315B,.,.
CHEM1315,ENGL1113,METR1111,UNIV1210,HIST1483,MATH1914,HIST1483B
MATH1523,P SC1113,SOC 1113,BIOL1114,BIOL1121,HES 2131,P SC1113B
GEOG1103,P SC1113,ARCH1121,ARCH1112,FR  2113,ARCH1154,P SC1113B
CHEM1315,EXPO1213,HIST1483,MATH1523,ENGR1411,CHEM1315B,HIST1483B
ENGL1113,MATH1503,PSY 1113,SOC 1523,.,.,.
ENGL1113,MATH1503,JMC 1013,UCOL1002,P SC1113,UNIV1210,P SC1113B
ENGL1113,HES 1823,P SC1113,HIST1483,.,.,.
ECON1123,ASTR1504,MATH1643,SPAN1115,METR1014,ECON1123B,METR1014B
CHEM3053,ENGL1113,MATH3113,CH E2033,ENGR1411,CH E2002,ENGR1411B
P SC1113,PHIL1113,SPAN1225,PSY 1113,.,.,.
B AD1001,ECON1113,ENGL1213,HES 1221,HES 1823,SPAN3073,ECON1113B
ECON1113,MATH1743,UCOL1002,SOC 1113,FMS 1013,ECON1113B,.
ENGL1113,MATH1643,P SC1113,DANC1713,BIOL1124,BIOL1124B,P SC1113B
IAS 2003,JAPN1115,ENGR1411,C S 1323,MATH3113,IAS 2003B,ENGR1411B
CHEM1315,GEOG1103,MATH1503,ASTR1504,GEOG1103B,CHEM1315B,.
CHEM1315,DRAM2713,MATH1523,PSY 1113,CHEM1315B,.,.
CHEM1315,CEES1112,MATH1523,IPE 1013,ENGR1410,CHEM1315B,.
COMM1113,ECON1123,MATH1643,METR1014,ECON1123B,COMM1113B,METR1014B
AHS 1400,SOC 1113,BIOL1114,BIOL1121,PSY 2603,ENGL1213,.
AHS 1400,SPAN3423,HON 2970,BIOL1114,BIOL1121,FMS 1013,.
AHS 1400,SPAN1225,WGS 1003,BIOL1114,BIOL1121,.,.
CHEM1315,ENGR1411,MATH1914,MUNM1113,PSY 1113,CHEM1315B,MATH1914B
CHEM3053,MUNM1113,PHYS2514,ENGR1411,MATH2924,PHYS2514B,MATH2924B
B AD1001,ECON1113,ENGL1113,MATH1743,FR  1115,ECON1113B,.
CHEM1315,ENGL1113,DRAM1713,AHS 1400,MATH1743,DRAM1713B,CHEM1315B
AERO1300,AERO2011,COMM1113,ENGL1113,P SC1113,MATH1823,METR1313
CHEM3053,PHYS2424,SPAN3073,HON 2970,ENGL2413,PHYS2424B,.
IAS 2003,SPAN1115,UCOL1022,MATH1523,FMS 1013,IAS 2003B,.
HES 1921,PHIL1213,HIST1483,MATH1523,CNS 1112,CNS 1112B,HIST1483B
CHEM1315,AHS 1400,HIST1483,PHIL1013,CHEM1315B,HIST1483B,.
CHEM1315,MATH1523,UCOL1002,SOC 1113,AVIA1003,MUNM2313,CHEM1315B
CHEM1315,AHS 1400,HIST2013,P SC1113,MATH1523,CHEM1315B,P SC1113B
MATH1523,MUNM1113,ENGR1411,SOC 1113,CHEM1315,CHEM1315B,ENGR1411B
MATH1643,BIOL1134,ANTH1823,ANTH1203,BIOL1134B,.,.
CHEM1315,MATH1523,FR  1115,CHEM1315B,.,.,.
CHEM3053,EXPO1213,ENGR1411,MUNM1143,MATH1914,MATH1914B,ENGR1411B
EXPO1213,ENGR1411,CHEM1315,MATH1914,MATH1914B,CHEM1315B,ENGR1411B
DRAM2713,MATH1743,BIOL1114,BIOL1121,PSY 1113,.,.
MATH1523,SOC 1113,P SC1113,COMM2613,MUNM2413,P SC1113B,.
MATH1743,PSY 1113,FMS 1013,BIOL1124,UCOL1022,BIOL1124B,.
CHEM1315,MATH1823,METR1111,SPAN1115,CHEM1315B,.,.
CHEM1315,ENGL1113,HIST1493,ENGR1411,MATH1914,CHEM1315B,MATH1914B
CHEM1315,MATH1523,PSY 1113,UCOL1002,ENGL1113,P SC1113,CHEM1315B
METR1111,MUNM1113,CHEM1315,MATH2924,UCOL1022,CHEM1315B,MATH2924B
MUNM1113,P SC1113,UCOL1002,MATH1523,SOC 1113,UCOL1030,P SC1113B
CHEM1315,MATH1503,SPAN1115,CHEM1315B,.,.,.
CHEM1315,GEOG1103,MATH1523,PSY 1113,ENGR1411,GEOG1103B,CHEM1315B
DRAM1133,DRAM1513,P SC1113,ENGR1411,DRAM1114,MATH3113,DRAM1411
ENGL1113,P SC1113,N S 0110B,N S 1132,PHIL1113,SOC 1523,UCOL1002
CHEM1315,ENGL1213,MATH1914,PHIL1013,MATH1914B,CHEM1315B,.
AHS 1400,MUNM1113,SOC 1113,ENGL1213,BIOL1114,BIOL1121,.
P SC1113,ENGR1411,ENGL1213,MATH2924,C S 1323,P SC1113B,MATH2924B
CHEM1315,COMM1113,ENGL1213,LAT 1115,CHEM1315B,COMM1113B,.
MUNM1113,CHEM1315,AFAM2003,PSY 1113,CHEM1315B,.,.
CHEM1315,COMM2613,ENGR1411,C S 1323,MATH1914,MATH1914B,C S 1323B
MATH1643,SPAN1115,ENGL1213,BIOL1124,BIOL1124B,.,.
ACCT2113,B AD1001,MATH1643,BIOL1114,BIOL1121,PHIL1273,METR2603
HIST1483,PHYS2514,ENGR1411,MATH2924,RELS1113,PHYS2514B,HIST1483B
MATH1523,N S 0110B,N S 1132,UCOL1002,BIOL1114,BIOL1121,ENGL1113
CHEM1315,MATH1523,MUNM1113,SPAN1115,CHEM1315B,.,.
JMC 1013,SPAN1115,PSY 1113,UCOL1002,ENGL1213,.,.
HIST1493,MATH1643,BIOL1114,BIOL1121,PSY 1113,HIST1493B,.
CHEM1315,ENGL1213,UCOL1002,ENGR1411,MATH1914,CHEM1315B,MATH1914B
ENGL1113,UCOL1002,MATH1523,BIOL1114,BIOL1121,.,.
PSY 1113,UCOL1002,ENGL1213,BIOL1114,BIOL1121,DMAT0123,.
ASTR1504,MATH1473,UCOL1002,SOC 1113,ENGL2413,ASTR1504B,MATH1473B
CHEM1315,ENGL1113,MATH1503,ENGR1411,FMS 1013,CHEM1315B,ENGR1411B
CHEM1315,MATH1523,SOC 1113,MUNM1113,CHEM1315B,.,.
HES 1121,MATH1503,UCOL1002,ENGL1113,PSY 1113,BIOL1114,BIOL1121
ENGL1113,MATH2423,CHEM3064,PSY 1113,MATH2423B,CHEM3064B,.
MUNM1113,ENGR1410,CHEM1315,ENGL1113,MATH1503,CHEM1315B,.
CHEM1315,ENGL1113,SOC 1113,ENGR1411,MATH1503,CHEM1315B,ENGR1411B
CHEM1315,ENGL1113,SOC 1113,MATH1914,CHEM1315B,MATH1914B,.
EXPO1213,MATH1503,PSY 1113,UCOL1002,BIOL1114,BIOL1121,.
HIST2013,MATH1503,M S 1112,UCOL1002,ENGR1411,M S 1011,M S 1112B
ENGL1113,PSY 1113,UCOL1002,FMS 1013,BIOL1114,BIOL1121,.
DANC2412,AHS 1400,ENGL1113,BIOL1114,UCOL1002,.,.
ENGL1113,MATH1643,SOC 1113,UCOL1002,BIOL1124,BIOL1124B,.
CHEM1315,ECON1123,ENGL1113,HES 1221,MATH1643,UCOL1022,CHEM1315B
HIST1483,MATH1643,UCOL1002,BIOL1124,MUNM1113,HIST1483B,BIOL1124B
CHEM1315,HIST1493,SPAN1115,HON 2973,HIST1493B,CHEM1315B,.
